period,duration,depth,planet_radius,semi_major_axis,star_radius,teff,logg,transit_signal_strength,stellar_density_proxy,radius_ratio,eq_temp_estimate,transit_probability,log_period,log_duration,log_depth
263.90141,4.303,807.1,23.91,0.9983,0.5697466108019016,4303.788089835915,5.11547229079981,13.160033135101477,15.7587670499393,41.96602410034064,2299.0383787940755,0.5707168294119018,5.579357719027165,1.668272698154993,6.694685813239402
360.477635,4.332,604.0,11943.8,1.0133,0.18205604616256968,3718.577300109652,5.228732178077317,7.2585030136474336,157.75610829679746,65605.07190919989,1114.5392003130808,0.17966648195260007,5.890200172465047,1.6737264023164622,6.405228458030842
1.074106954,1.9797,64.5,0.52,0.0184,0.6072666419991228,3559.6859302035004,4.439668748118793,118.88075905707247,12.039036109214436,0.8562960058009429,14460.306068112775,33.00362184777842,0.729530677426594,1.0918226243086941,4.182050142641207
13.843678,1.7688,11798.010396192878,21.4,0.10248009530006455,0.81,4859.128524491563,4.6184754201271785,1507.4260459385114,7.039285810283764,26.41975308641975,9659.755580467618,7.903973914429897,2.697574050696835,1.0184140133389974,9.375770942207495
0.690458,5.8896,34295.53173463986,6.353361739421812,0.014514162628776873,1.50882,6912.12,4.79607538571041,292540.5509159643,2.106740947469285,4.210814901328066,49833.22513645095,103.95501542806885,0.5249994981366716,1.9300130281879069,10.442799512433336
31.99552485,4.2817,1376.1,4.12,0.1921,0.9634621050743039,5362.271270776047,4.484279716950781,184.1522337146471,4.830848519574562,4.2762449901257495,8491.55876004516,5.015419599553899,3.49637194166447,1.6642480155940198,7.22773511773308
395.07333,7.844,645.1,230.33,1.2548,0.5867112362504012,3669.2163964232304,5.162820001204062,12.80816500572185,14.998166575266492,392.5781300389106,1774.121158867615,0.4675735067344607,5.981599370879056,2.1797392629952,6.47095429056412
28.564994,3.92,920.5723159287922,2.25,0.164735064343867,0.68,4418.0,5.086709525638167,126.33097274380194,11.000669389355895,3.3088235294117645,6347.053296524529,4.127840072837025,3.386591026330104,1.5933085305042167,6.826081250350677
8.90003342005,1.8542477,18212.035124435453,15.12617706,0.07578078398810831,1.0044,5854.0,4.45956,3794.32555452291,4.420573372025691,15.059913440860216,15069.940073272448,13.25401964906582,2.2925381328974725,1.0488083057580864,9.809892832333194
8.40693068,1.866,167.1,1.95,0.0781,0.8750786358620434,5259.963385155513,4.493817533916333,37.08946961365928,5.86842113045959,2.228371165842767,12449.89666608787,11.204592008476867,2.2414467239821168,1.0529173294059802,5.12455904041457
0.566804221,4.639,166.0,0.85,0.0115,0.8165723705140346,5123.210846680724,4.620095024314213,1358.624321183381,6.928856163627182,1.0409365179291121,30526.404328501492,71.00629308817693,0.44903801683195066,1.7297067448250452,5.117993812416755
65.4950311602883,5.085924777605395,23791.335898271926,78.85311259889403,0.21438766763783462,1.1758555216145832,5128.579141061453,4.436982537441164,1847.482818066366,3.2090744569644385,67.06020522880205,8492.96130734356,5.484716236574566,4.197127225476015,1.8059786914912959,10.077118786718632
6.78788113,2.26,73.1,2.44,0.0835,0.9664645813781065,5321.138178038945,4.5486738983694215,24.33837553074533,4.869820091083497,2.524665721863021,12800.863676239049,11.574426124288701,2.052568824167994,1.1817271953786161,4.3054155323020415
1.89117723,6.986,176.2,164.49,0.0276,11.449435077116462,3733.7665938851924,4.591401958796013,650.881990578958,0.03502492367224353,14.366647689785127,53773.66735363839,414.8346042433501,1.0616637652022354,2.0776900086410297,5.177279038170981
0.7967202,4.25304,167720.0,56.89,0.0169,0.7601243064706906,3698.5062672787017,4.491364404119295,895320.4259161499,7.773364852991846,74.84302174751414,17539.221748655997,44.97776961365034,0.5859628917272739,1.658806956639197,12.030057163585074
46.245164,5.663,492.1,2.46,0.2466,0.8086048660129597,4654.230662598855,4.616884127860022,60.26062098082299,7.06116360362191,3.042277017364094,5959.427549598553,3.2790140552025937,3.855350299495365,1.8965698335804002,6.2007119932300805
2.6017,1.68,466.0774201646192,1.47,0.03437895860289281,0.839,5219.3831474941735,4.514216633927344,300.9609354946997,6.412959172872161,1.7520858164481525,18232.1885305621,24.40446232508632,1.2814059562224613,0.9858167945227653,6.1464950258656765
21.05683,4.3776,1317.7284470141362,4.05,0.14349801032719275,1.2427,6498.0,4.37319,273.94855016871406,2.8318206846532075,3.2590327512674016,13521.501436967124,8.660050387921716,3.0936223044969458,1.6822421779887042,7.184423253594431
376.934014,4.28,382.4,2.13,0.991,0.5181816098433647,4362.493852639828,4.791886280827728,4.342065027859227,17.846066673438337,4.1105279684546385,2230.6118285709085,0.5228875982274114,5.93471961424358,1.6639260977181702,5.949078830611544
8.95294046,2.995,44.0,0.86,0.0839,0.7090918187483728,4118.4212735168185,4.411269029900533,14.71918646044475,8.773211425758797,1.2128189569553873,8466.151340723383,8.451630735975838,2.2978680311300885,1.385043579218238,3.8066624897703196
31.4452709,1.758,531.1,4.55,0.2099,1.0485036169494049,5689.706500191174,4.634060757573651,29.692025963751515,4.2152356408420495,4.33951769593138,8991.944413996634,4.995253058358289,3.479554697552838,1.01450577937111,6.276831441602324
670.645531,53.412,18091.0,14.14,1.5155,3.8719117099500364,4235.17068700483,4.866623175919267,1440.8155237524425,0.3246211625028067,3.6519427763972607,4786.749192791686,2.5548741075222936,6.509730717723765,3.9965847177711837,9.803225130597733
1.236438,2.4912,23987.91149087072,50.0,0.02177944624847582,3.2,6132.263435888375,3.6434820346683296,48331.32361352299,0.355808792448079,15.625,52560.24464961369,146.92751888602052,0.8048844216196303,1.2502455166566147,10.085346981351675
