period,duration,depth,planet_radius,semi_major_axis,star_radius,teff,transit_signal_strength,radius_ratio,transit_probability,orbital_velocity,stellar_flux,transit_depth_norm,habitable_zone_proxy,radius_temp_interaction,period_depth_interaction,log_period,log_period_squared,log_duration,log_duration_squared,log_depth,log_depth_squared,log_planet_radius,log_planet_radius_squared,log_star_radius,log_star_radius_squared
6.339069,3.2,1143.7649225201621,3.66,0.06896831736666503,0.897,5367.0,577.3793836298013,4.080267558073549,13.005971915054383,0.06836030942908057,1.7443238495145978e+17,1421.516441234366,3.6698829545599003,19643.22,44.64577509128515,1.9932119953445908,3.972894058385565,1.4350845252893227,2.0594675947248806,7.042954587067147,49.60320931549016,1.5390154481375546,2.3685685496060382,0.6402736909528771,0.4099503993264204
2.42088277,2.812,223.3,2.27,0.0355,0.20967849534561958,2862.3831663659817,259.3762935386013,10.82609828526134,5.906436471971153,0.09213708369516033,5.326652534707438e+16,5079.0318910791075,3.7356049196708403,6497.609787650778,13.10420076876876,1.2298986376503491,1.5126506588941848,1.3381539857919555,1.7906560896908972,5.412984441526163,29.300400564204306,1.184789984909162,1.4037273083410526,0.1903546179765355,0.036234880584992774
144.551628,16.599,1035.2,3.06,0.5164,1.2669631645550528,4469.463978627809,118.87299394502922,2.415224124399169,2.453453067989364,0.022446214805863646,1496405509328613.8,644.9058052011768,1.223899719175515,13676.559774601097,1003.6675526482882,4.9805308552888174,24.80568760048396,2.8678420822480737,8.224518208712967,6.943315454380688,48.2096294990417,1.4011829736136414,1.9633137255447666,0.81844112285128,0.6698458715740641
0.50727675,2.32,214.7,1.7,0.0132,0.3718862542662828,3594.8700840575325,981.9176611224703,4.571290226622937,28.17320086734566,0.16349664367314462,9.584841392822707e+17,1552.4291605339604,6.865400288870334,6111.279142897805,2.7260487202284738,0.4103045457833834,0.16834982029050855,1.199964782928397,1.439915480268395,5.373888553395111,28.878678184311,0.9932517730102833,0.9865490845880714,0.3161866208131498,0.09997397918123857
11.55059,2.9656346530971187,371.2200648415821,1.98,0.09959212941979113,0.469901,3677.0,95.31141597179227,4.213653513354163,4.718254366743111,0.05417522431977431,1.8429963792673784e+16,1681.1973763422802,2.52781645630058,7280.46,68.37354715133253,2.529767676424957,6.399724496684526,1.3776659061107797,1.8979633488600356,5.919485251518108,35.040305642940396,1.091923300517313,1.1922964942126222,0.38519505158396256,0.14837522776477158
0.664727127,1.561,16.2,0.46,0.0149,0.9136440355352454,4648.759561299264,38.042978793906954,0.5034783592498009,61.31839123512794,0.1408389356477879,2.1036611945015846e+18,19.40711447718582,7.348295930386119,2138.429398197661,1.891088441281615,0.509661222313665,0.259754561530259,0.9403978072173882,0.884348035819272,2.8449093838194073,8.09350940214372,0.3784364357202451,0.1432141358806432,0.6490092963902828,0.42121306680100995
5.2449156,8.367,35.5,0.52,0.0562,0.8586028662384911,4793.112964765004,56.63170251859474,0.6056350617807021,15.277631044674875,0.06732520429056289,1.6710830180273498e+17,48.155254793132684,3.8419517412545465,2492.4187416778022,18.867599193631605,1.8317676286743656,3.3553726454593087,2.2371928742269938,5.005031956492037,3.597312260588446,12.940655500179956,0.41871033485818504,0.17531834451705344,0.6198250582891064,0.38418310288309415
1.9828,1.1139386,26561.85059880337,10.89107018,0.0334008928170253,0.293047,3213.0,14922.468563621112,37.164926364315306,8.773627720911207,0.105842242779922,9.552713394229941e+16,309302.74180608673,4.080257347122035,34993.00848834,20.19931682368387,1.0928624566875027,1.1943483492370437,0.7485528425607789,0.5603313581058222,10.18726892459344,103.78044814198718,2.475787713380671,6.129524801726691,0.25700144870372327,0.06604974463581251
16.197189,1.43,459.0288669409332,2.11,0.12473819376949546,0.69,4500.0,40.526246851937195,3.0579710140495693,5.531585624222658,0.04838822256947025,2.635427978343554e+16,964.1438076199988,2.4987209749596406,9495.0,99.30965066202577,2.844745940230674,8.0925794644589,0.8878912573524571,0.7883508848829273,6.131289241733597,37.59270776579815,1.1346227261911428,1.287368730789421,0.5247285289349821,0.2753400290782704
150.728285,2.718,213.5,1.27,0.5487,0.48574443173398485,4661.76969001478,3.849927702684437,2.6145436092905205,0.8852641364050637,0.022872838883870747,1568676298715652.8,904.8617234932644,1.2126044509971103,5920.447506318771,809.1561202130181,5.022091322500885,25.22140125153869,1.3131858892992523,1.7244571798546682,5.368309738368072,28.818749447057474,0.8197798314933114,0.672038972123202,0.39591594747634457,0.15674943746609163
10.06478627,2.86,285.7,1.49,0.0888,0.5469437176821134,3978.952945577742,81.18423760546298,2.724229114545883,6.159276093087677,0.05543553934523874,3.1786980873774896e+16,955.047481429539,2.7847688333445695,5928.639888910836,56.95095271552507,2.403767657455637,5.77809895102976,1.3506671834767394,1.824301840520988,5.658436372889324,32.017902186036885,0.9122827104766162,0.8322597438345616,0.4362811893402946,0.19034127617218197
4.16071,7.522953509892333,11715.705611927493,12.9,0.052,1.16,5576.0,21183.09342684228,11.120689654213734,22.307692264792898,0.07852641399316122,3.575068532234115e+17,8706.677771928913,4.307952852005801,71930.40000000001,38.980738906499745,1.6410741669271112,2.693124421355512,2.1427629368605334,4.5914330035831785,9.36877093248502,87.77386878537624,2.631888840136646,6.92683886683582,0.7701082216960736,0.5930666731238888
