period,duration,depth,planet_radius,disposition,semi_major_axis,source,star_radius,teff,logg
60.4189369,5.039,931.3,2.36,CONFIRMED,0.2884,Kepler,,,
12.611904345,5.1497,6105.6,7.4,CONFIRMED,0.1058,Kepler,,,
1.433769925,1.8868,1976.3,46.58,FALSE POSITIVE,0.0256,Kepler,,,
10.31872301,3.836,871.7,28.59,FALSE POSITIVE,0.0944,Kepler,,,
2.539183147,2.4282,382.1,2.06,CONFIRMED,0.0355,Kepler,,,
6.770300385,2.0844,1304.0,2.77,CONFIRMED,0.064,Kepler,,,
0.444291966,2.0792,10967.0,27.51,FALSE POSITIVE,0.0101,Kepler,,,
10.181584004,3.5089,5741.1,7.73,CANDIDATE,0.0884,Kepler,,,
20.06036336,3.3203,1494.7,1.96,CONFIRMED,0.115,Kepler,,,
46.1842039,4.758,1394.7,1.83,CONFIRMED,0.2005,Kepler,,,
23.9800854,5.351,104.0,1.31,CONFIRMED,0.1602,Kepler,,,
7.82502168,2.186,520.8,1.2,CONFIRMED,0.0614,Kepler,,,
3.895936525,2.3111,8544.8,7.34,CONFIRMED,0.046,Kepler,,,
22.36646466,5.228,986.8,2.32,CONFIRMED,0.1449,Kepler,,,
1.625522174,2.38963,7969.0,9.73,CONFIRMED,0.0265,Kepler,,,
19.620346923,2.0038,21725.0,13.6,CANDIDATE,0.1389,Kepler,,,
7.544039,6.222,322.6,17.47,FALSE POSITIVE,0.0731,Kepler,,,
9.02930689,3.1449,1019.8,2.57,CONFIRMED,0.0796,Kepler,,,
10.328035714,7.7915,16918.0,13.28,FALSE POSITIVE,0.0888,Kepler,,,
143.2063047,8.9302,10566.0,8.9,CONFIRMED,0.5336,Kepler,,,
6.164876,3.262,55.8,0.79,CONFIRMED,0.0648,Kepler,,,
60.32494216,6.6188,20280.0,12.19,CONFIRMED,0.2998,Kepler,,,
29.1598615,4.803,488.0,1.91,CONFIRMED,0.1847,Kepler,,,
1.540397253,2.1541,816.1,25.69,FALSE POSITIVE,0.0264,Kepler,,,
2.99025443,5.414,589.2,1.7,FALSE POSITIVE,0.0367,Kepler,,,
1.594745374,1.9604,15044.0,11.3,CONFIRMED,0.0258,Kepler,,,
4.783002698,2.335,1008.7,2.5,CONFIRMED,0.0535,Kepler,,,
20.50588921,4.0595,2105.5,3.41,CONFIRMED,0.1326,Kepler,,,
3.340218842,1.9104,1632.6,2.03,CONFIRMED,0.0348,Kepler,,,
2.507089906,2.0067,1339.2,30.26,FALSE POSITIVE,0.0365,Kepler,,,
18.64932728,4.4056,893.6,3.12,CONFIRMED,0.139,Kepler,,,
4.90144976,4.1654,140.7,1.7,CONFIRMED,0.0586,Kepler,,,
9.75192101,4.793,418.0,2.76,CONFIRMED,0.0902,Kepler,,,
38.5576546,5.794,993.0,4.02,CONFIRMED,0.2255,Kepler,,,
3.525632539,2.59959,22335.0,11.58,CONFIRMED,0.0431,Kepler,,,
34.84398644,2.9315,4523.6,7.61,CANDIDATE,0.1971,Kepler,,,
7.748094239,3.5957,2472.1,5.52,CONFIRMED,0.081,Kepler,,,
23.96793669,3.827,1182.3,1.8,CONFIRMED,0.1322,Kepler,,,
8.29561738,1.3421,824.3,1.82,CONFIRMED,0.0652,Kepler,,,
8.11437482,2.2736,1558.0,2.1,CONFIRMED,0.0649,Kepler,,,
38.036729482,4.34617,82872.0,27.5,FALSE POSITIVE,0.2252,Kepler,,,
4.64090031,35.512,2450.6,30.09,CANDIDATE,0.0503,Kepler,,,
3.747838198,5.0642,616.0,13.65,FALSE POSITIVE,0.046,Kepler,,,
14.74914825,6.0995,430.2,2.89,CONFIRMED,0.1221,Kepler,,,
21.81295996,4.3791,1175.4,3.38,CONFIRMED,0.1495,Kepler,,,
7.91936937,3.3148,15148.0,10.34,FALSE POSITIVE,0.0737,Kepler,,,
1.028436523,1.8606,8098.0,72.77,CANDIDATE,0.0197,Kepler,,,
15.37562369,3.3169,15337.0,11.01,CONFIRMED,0.1121,Kepler,,,
8.10363271,3.161,887.9,2.11,CONFIRMED,0.0712,Kepler,,,
4.71510843,2.506,417.5,1.46,CONFIRMED,0.0496,Kepler,,,
6.365839713,2.9721,780.7,2.44,CONFIRMED,0.0659,Kepler,,,
5.97581754,3.065,962.4,3.86,FALSE POSITIVE,0.066,Kepler,,,
2.446737317,4.7211,1177.9,26.25,FALSE POSITIVE,0.0351,Kepler,,,
3.04033046,1.8411,10859.0,8.99,CONFIRMED,0.0374,Kepler,,,
15.33528675,3.897,3081.4,5.0,CONFIRMED,0.1179,Kepler,,,
7.95825328,4.377,50.0,1.06,CONFIRMED,0.0809,Kepler,,,
31.33046135,5.176,5073.8,6.5,CONFIRMED,0.1898,Kepler,,,
3.9043425,3.831,16228.0,12.28,FALSE POSITIVE,0.0484,Kepler,,,
9.286358079,3.49949,44791.0,17.61,FALSE POSITIVE,0.081,Kepler,,,
3.951405455,2.1862,2453.9,31.44,FALSE POSITIVE,0.0482,Kepler,,,
23.65369415,8.2183,3341.8,7.89,CONFIRMED,0.1658,Kepler,,,
13.23352214,6.7372,504.6,3.06,CONFIRMED,0.1126,Kepler,,,
6.15560285,4.9843,285.0,2.32,CONFIRMED,0.0676,Kepler,,,
