period,duration,depth,planet_radius,kepid,koi,disposition,semi_major_axis,source,star_radius,teff,logg,tic,planet_name,host_name,toi
9.48803557,2.9575,615.8,2.26,10797460.0,K00752.01,CONFIRMED,0.0853,Kepler,,,,,,,
54.4183827,4.507,874.8,2.83,10797460.0,K00752.02,CONFIRMED,0.2734,Kepler,,,,,,,
19.89913995,1.7822,10829.0,14.6,10811496.0,K00753.01,CANDIDATE,0.1419,Kepler,,,,,,,
1.736952453,2.40641,8079.2,33.46,10848459.0,K00754.01,FALSE POSITIVE,0.0267,Kepler,,,,,,,
2.525591777,1.6545,603.3,2.75,10854555.0,K00755.01,CONFIRMED,0.0374,Kepler,,,,,,,
11.09432054,4.5945,1517.5,3.9,10872983.0,K00756.01,CONFIRMED,0.0992,Kepler,,,,,,,
4.13443512,3.1402,686.0,2.77,10872983.0,K00756.02,CONFIRMED,0.0514,Kepler,,,,,,,
2.56658897,2.429,226.5,1.59,10872983.0,K00756.03,CONFIRMED,0.0374,Kepler,,,,,,,
7.36178958,5.022,233.7,39.21,6721123.0,K00114.01,FALSE POSITIVE,0.082,Kepler,,,,,,,
16.06864674,3.5347,4914.3,5.76,10910878.0,K00757.01,CONFIRMED,0.1158,Kepler,,,,,,,
2.470613377,1.74319,14231.0,13.04,11446443.0,K00001.01,CONFIRMED,0.0354,Kepler,,,,,,,
2.204735417,3.88864,6674.7,16.1,10666592.0,K00002.01,CONFIRMED,0.0376,Kepler,,,,,,,
3.522498429,3.19843,9145.7,14.59,6922244.0,K00010.01,CONFIRMED,0.0473,Kepler,,,,,,,
3.709214104,2.6302,131.1,1.16,10984090.0,K00112.02,CONFIRMED,0.0465,Kepler,,,,,,,
11.521446064,3.6399,17984.0,150.51,10419211.0,K00742.01,FALSE POSITIVE,0.0978,Kepler,,,,,,,
19.40393776,12.2155,8918.7,7.18,10464078.0,K00743.01,FALSE POSITIVE,0.123,Kepler,,,,,,,
19.221388942,4.79843,74284.0,49.29,10480982.0,K00744.01,FALSE POSITIVE,0.1417,Kepler,,,,,,,
16.46983774,9.4378,10479.0,7.94,10485250.0,K00745.01,FALSE POSITIVE,0.1147,Kepler,,,,,,,
9.27358173,3.2875,1288.3,2.47,10526549.0,K00746.01,CONFIRMED,0.0759,Kepler,,,,,,,
6.02930329,1.5821,1912.7,2.85,10583066.0,K00747.01,CONFIRMED,0.0585,Kepler,,,,,,,
2.696370652,3.6129,397.9,1.58,10583180.0,K00748.01,FALSE POSITIVE,0.0349,Kepler,,,,,,,
5.349553819,3.0278,831.0,2.55,10601284.0,K00749.01,CONFIRMED,0.0563,Kepler,,,,,,,
3.94105221,2.5984,363.3,1.7,10601284.0,K00749.02,CONFIRMED,0.046,Kepler,,,,,,,
8.10904807,3.596,217.4,1.3,10601284.0,K00749.03,CONFIRMED,0.0743,Kepler,,,,,,,
386.6030528,6.8057,24927.0,41.5,2306756.0,K00113.01,FALSE POSITIVE,1.0719,Kepler,,,,,,,
21.67699193,3.4555,857.2,2.95,10662202.0,K00750.01,CONFIRMED,0.1408,Kepler,,,,,,,
4.99677968,2.1717,934.7,2.78,10682541.0,K00751.01,CONFIRMED,0.0559,Kepler,,,,,,,
4.280963604,2.875,750.8,2.3,11460018.0,K00769.01,CONFIRMED,0.0503,Kepler,,,,,,,
1.50635409,1.5155,2211.7,4.53,11463211.0,K00770.01,FALSE POSITIVE,0.025,Kepler,,,,,,,
670.645531,53.412,18091.0,14.14,11465813.0,K00771.01,FALSE POSITIVE,1.5155,Kepler,,,,,,,
61.2563628,7.633,5123.3,39.87,11493732.0,K00772.01,FALSE POSITIVE,0.3137,Kepler,,,,,,,
38.3775486,5.588,724.2,2.82,11507101.0,K00773.01,CONFIRMED,0.2163,Kepler,,,,,,,
41.19725502,4.6297,2213.9,3.86,10910878.0,K00757.02,CONFIRMED,0.217,Kepler,,,,,,,
6.252962249,2.5819,1036.9,2.65,10910878.0,K00757.03,CONFIRMED,0.0617,Kepler,,,,,,,
16.01308419,3.2554,1121.9,3.1,10987985.0,K00758.01,CONFIRMED,0.1148,Kepler,,,,,,,
32.62876672,4.7971,1804.8,3.36,11018648.0,K00759.01,CONFIRMED,0.1889,Kepler,,,,,,,
91.7732862,6.473,652.0,2.12,11018648.0,K00759.02,CONFIRMED,0.3764,Kepler,,,,,,,
4.959319244,2.22739,9802.0,12.21,11138155.0,K00760.01,CONFIRMED,0.0565,Kepler,,,,,,,
2.701287801,3.3827,860.4,6.54,11152159.0,K00761.01,FALSE POSITIVE,0.0365,Kepler,,,,,,,
4.49876511,3.7362,460.0,2.1,11153539.0,K00762.01,CONFIRMED,0.0542,Kepler,,,,,,,
19.651209505,5.2514,11766.0,12.42,11242721.0,K00763.01,FALSE POSITIVE,0.1433,Kepler,,,,,,,
5.412203927,2.9472,601.6,2.94,9579641.0,K00115.01,CONFIRMED,0.0591,Kepler,,,,,,,
41.43958662,10.5989,2793.1,5.5,11304958.0,K00764.01,CONFIRMED,0.2288,Kepler,,,,,,,
8.35389523,2.2514,1041.6,2.52,11391957.0,K00765.01,CONFIRMED,0.0768,Kepler,,,,,,,
4.125543472,3.1744,1487.3,4.43,11403044.0,K00766.01,CONFIRMED,0.0529,Kepler,,,,,,,
2.816504904,2.50587,16814.0,12.21,11414511.0,K00767.01,CONFIRMED,0.0383,Kepler,,,,,,,
33.93373447,14.561,8503.7,7.34,11442465.0,K00768.01,FALSE POSITIVE,0.1881,Kepler,,,,,,,
