period,duration,depth,planet_radius,kepid,koi,disposition,semi_major_axis,source,star_radius,teff,logg,tic,planet_name,host_name,toi
3.689920099,2.6557,426.7,1.89,12110942.0,K00786.01,CONFIRMED,0.0469,Kepler,,,,,,,
4.431238488,3.15,1010.9,3.25,12366084.0,K00787.01,CONFIRMED,0.0529,Kepler,,,,,,,
11.37936986,2.6255,1023.5,3.95,12366084.0,K00787.02,CONFIRMED,0.0993,Kepler,,,,,,,
26.39432897,3.573,1510.9,3.07,12404086.0,K00788.01,CONFIRMED,0.1635,Kepler,,,,,,,
13.57078281,3.3539,511.7,2.64,8395660.0,K00116.01,CONFIRMED,0.1096,Kepler,,,,,,,
7.12594387,3.0014,192.4,1.79,9579641.0,K00115.02,CONFIRMED,0.0711,Kepler,,,,,,,
7.442652004,2.3078,24446.0,15.03,11656840.0,K00774.01,FALSE POSITIVE,0.0742,Kepler,,,,,,,
16.38489988,3.0249,1127.1,2.0,11754553.0,K00775.01,CONFIRMED,0.1084,Kepler,,,,,,,
7.8774163,2.0805,1306.1,2.16,11754553.0,K00775.02,CONFIRMED,0.0665,Kepler,,,,,,,
36.4454001,4.007,1122.3,1.99,11754553.0,K00775.03,CONFIRMED,0.1847,Kepler,,,,,,,
3.728732147,2.683,5226.5,6.02,11812062.0,K00776.01,CONFIRMED,0.0455,Kepler,,,,,,,
40.4195037,3.362,6256.0,7.51,11818800.0,K00777.01,CANDIDATE,0.2062,Kepler,,,,,,,
