period,duration,depth,planet_radius,semi_major_axis,source,star_radius,teff,logg
50.8213,3.408,766.5657726304183,2.18,0.25538812937769206,K2,0.879,5300.500859310297,4.570139300638292
3.07365139,2.102,90.5,0.79,0.0403,Kepler,1.2238127254742075,5465.59128941826,4.336133536713858
1.121733366,1.032,84.3,2.39,0.0222,Kepler,0.6590487369574665,3446.999236764982,4.653477461093261
1.39657671,1.586,27633.399089127015,10.877467656463134,0.02279900539607287,K2,0.96977,5805.0,4.48176
3.48928,2.9052952834169266,103.08153155714102,0.91,0.029299085927906227,K2,0.682132,3742.0,4.58372
51.3901452,5.995,494.0,3.62,0.2853,Kepler,0.8086433571304332,4819.52157359104,4.6065321130183134
276.54167976,7.76,799.3236322382945,20.21030820607617,0.8089839512740353,Kepler,1.338641389099728,4871.844846108775,4.5951679249116175
7.930583519,3.6083,826.1,3.05,0.08,Kepler,0.8335683353247134,5162.206311151086,4.589088872947696
9.2075634,3.365,1243.1,5.5,0.0865,Kepler,3.485541888566703,11028.500969979355,3.817459822156848
7.03965141,3.141,268.7,2.72,0.0747,Kepler,0.7849839922413702,5097.09210901041,4.588836843283722
19.7919389,3.787,383.7,2.58,0.1473,Kepler,0.7479757807180308,4677.700458775392,4.568940077741262
3.262,2.6984821281890046,719.7292762666209,2.43,0.0331,K2,0.505,3752.0,4.743
10.14588,5.3592,23014.405449405185,19.43,0.08111338297529305,K2,1.198,5799.698718455707,4.35418901724203
1.6037058,9.067,32.8,1.54,0.0322,Kepler,1.518693595942061,4915.808282328614,4.236836288581
346.31688,21.92,1435.0,5.21,0.986,Kepler,2.55460731537215,4243.305880709133,4.510639310027037
79.9999,11.7504,7999.373792729999,10.2,0.37133212854209346,K2,0.508,4542.0,4.747
0.566799218,4.227,18.2,0.79,0.0128,Kepler,0.6834289237835618,4504.3560824584065,4.669536562796244
3.314947362,1.8007,1398.2,3.94,0.0433,Kepler,1.6945151221508785,5939.573734723893,4.112983033471799
0.36931,1.0,273.99758044873715,1.7,0.0095,K2,0.75,5245.0,4.61
0.539696,1.7448,113.36369619333436,1.2108464841641817,0.012951519722473012,K2,0.8117814934569121,4772.453478503801,4.65989654610875
80.8723469,11.195,3604.6,7.59,0.3577,Kepler,1.0846444655343397,4238.369099721531,4.7035965298438
4.16811839,2.8084,263.0,2.28,0.0507,Kepler,1.1343637186708415,5444.374648345283,4.33614113956713
125.277815,4.442,432.3,15.75,0.6174,Kepler,2.567253628014183,4503.407545579321,4.967169923575249
2.89494709,3.254,45.8,1.16,0.0447,Kepler,1.0679334273423973,4061.976046866647,4.439808393158386
29.88487723,4.5612,1275.7,2.81,0.1694,Kepler,0.8547623656234946,5387.798814427693,4.52584875607344
8.689301216,2.563,1117.0,2.92,0.0774,Kepler,0.739219354736998,5276.403043337149,4.545498955782258
4.684559,2.9,2726.978947315974,4.757,0.05315955691480214,K2,1.184,5829.0,4.244
374.514471,6.629,440520.0,139.55,1.0721,Kepler,1.8075437569553334,3765.6615486271457,5.1670812902605245
3.912679136,3.556,291510.0,1794.2,0.0427,Kepler,0.6554274637169807,4411.317627638589,4.502227268537309
377.311149,3.33,804.0,2.56,1.0168,Kepler,0.5581391101768128,4476.508742717843,4.758598647795832
2.019997006,1.8073,332.8,1.46,0.0293,Kepler,6.478223776141431,4265.930651292398,4.6958061371588755
211.54114,5.4,751.0,1.88,0.628,Kepler,0.7545145267050126,4148.859003019683,4.799603567207453
14.65835,1.548,188.1861303592052,1.12,0.013898856585341695,K2,0.339,3985.566413174712,4.665890360465106
