period,duration,depth,planet_radius,semi_major_axis,source,star_radius,teff,logg
2.500285,5.7,231894.40871195064,64.215,0.04080530872915104,K2,2.481,6051.0,3.934
31.707574649,7.6771,787.3,2.96,0.1935,Kepler,1.3356150529557804,6218.855099069197,4.413948686326973
20.8341497,4.522,803.1,2.26,0.1389,Kepler,0.973028483336883,5608.916606366894,4.493698589180688
5.1138428,2.1793160603269124,17886.125454415862,5.836167573245924,0.059434990829592554,K2,1.409,6890.0,4.274
1.25383162,7.68,12.9,0.47,0.0238,Kepler,0.8659807655639403,5270.354323227363,4.530958300256655
72.4914068,3.612,1063.5,15.33,0.3626,Kepler,1.582367564978681,4992.377460513954,4.986940058043405
23.6272223,7.9,154.6,3.84,0.2096,Kepler,1.1144619478209057,5682.651287665643,4.428071729549383
19.562307,5.808,389.76315829654817,2.6,0.126,K2,0.676,4455.0,4.625
0.505111993,0.4053,212.8,1.58,0.0119,Kepler,0.3779147216784916,3621.8973878606375,4.942083707162156
150.8783198,8.6797,659.9,4.37,0.5726,Kepler,1.1660073205944537,4467.97202050396,4.534752055369888
1.908525084,4.169,218.9,3.74,0.0397,Kepler,12.8567679866467,3769.0250161520034,4.831280719867589
101.952048,5.991,152.5,1.31,0.4322,Kepler,0.8511457913230803,5176.178727443147,4.507425278277626
4.1591739,3.63,13097.515834073882,10.5,0.05014188281519405,K2,0.86,5427.0,4.513826907059878
8.17242644,3.902,864.3,3.29,0.0779,Kepler,0.8429425609449609,5311.264684851684,4.515065615698752
2.024143568,2.5273,239.4,1.94,0.0314,Kepler,6.0792502890072395,3908.859149337416,4.772373318521481
5.7455209252811,6.792,4539.4893167084065,8.7,0.16044451757722109,K2,0.96,4442.199401855189,4.266123834305062
18.64932728,4.4056,893.6,3.12,0.139,Kepler,1.1059969074872,5409.075713695808,4.322703868834934
1.086486129,0.8383,66.0,1.69,0.0211,Kepler,0.7551117218094974,3820.6621426789156,4.466337824872512
0.723947772,2.125,242.7,52.16,0.0147,Kepler,1.1373864774642637,4713.246130321957,4.410625248038553
68.832195,3.31,678.1,2.35,0.3212,Kepler,0.5998113458640764,4427.086057894002,4.709831975400821
16.1966,1.29,422.968472442436,2.14,0.1148,K2,0.73,4880.0,4.604
14.069759,3.0166223234844693,592.0685190971793,1.86705079,0.10676284679289945,K2,0.890011,5343.0,4.51
631.632,16.13,295.1,1.56,1.3955,Kepler,1.1859248472051214,3547.3712101007395,4.847388042266733
22.9735,3.384,676.7946890907217,2.61,0.14857974428372642,K2,1.067,5829.092841668841,4.4839401041645095
13.68369259,4.22504,185510.0,30.6,0.0982,Kepler,0.7239548896594225,4725.780119729568,4.502523504220164
179.609803,13.755,1273.0,5.47,0.6372,Kepler,1.3441920079257519,3536.2529702680226,4.84488780605502
1.245331397,2.566,38.1,1.61,0.0251,Kepler,0.8209484513005776,5112.902621910913,4.560523465170415
9.032178,3.25,209.55876456166843,1.38,0.0833981675056415,K2,0.49,4385.0,4.78
1.075,3.894545,225815.0,69.875,0.02055,K2,0.567,3503.0,4.447
7.66462913,3.614,114.1,1.6,0.0767,Kepler,1.036272267900346,5817.845246533769,4.3543401222455485
1.466535757,0.8222,1346.4,4.28,0.0246,Kepler,0.8758837889106641,3973.652434309899,4.882359822053496
213.3990406,6.5043,13930.0,35.2,0.7882,Kepler,1.1135708025469755,3960.137323365474,5.110837073411178
17.355066,5.614448835739436,684.7924083891864,3.24925008,0.13192448986546979,K2,2.196069,5791.0,3.81
7.943604,3.3,341.54826575655204,1.992,0.07656896874538931,K2,0.87,5498.0,4.479
9.6887216,2.0,655.5,3.09,0.0943,Kepler,1.179554902956345,5344.173273314283,4.3531913302135825
11.55059,2.9656346530971183,371.22006484158214,1.98,0.09959212941979113,K2,0.469901,3677.0,4.76387
151.577009,2.59,467.9,3.67,0.6083,Kepler,0.5309937498521026,4569.867801811888,4.791919206048254
7.544804312,8.2678,6501.7,63.99,0.073,Kepler,0.8648934055564274,5307.947289550872,4.655688493430838
177.668663,9.298,901.4,2.32,0.5594,Kepler,1.151417784390871,4164.4514935492525,4.825299467963529
9.9105786,5.945,99.5,1.19,0.0952,Kepler,0.7751745448056405,4664.650627575931,4.538224398134055
14.677286,3.23,321.56500219540493,2.0,0.11723062580912628,K2,0.73,4819.0,5.084382895109849
9.48803557,2.9575,615.8,2.26,0.0853,Kepler,1.1310248612060638,5769.170293841835,4.342331093751386
2.103239235,7.08365,314930.0,64.15,0.0321,Kepler,1.6078217536987949,5864.84142010151,4.178820099035645
4.29388808,3.618,110.6,1.68,0.0571,Kepler,1.0176978068128182,5501.196401805734,4.428037666779895
48.6303805,7.0805,339.8,2.48,0.2791,Kepler,1.14366154128364,5193.764411405586,4.426280194895236
2.219368,1.236,346.50476256563945,1.17,0.0340589900579804,K2,0.532,4203.046153387833,4.695245710282316
3.115304946,4.88748,149520.0,61.66,0.0435,Kepler,1.282796797673531,5623.002335348958,4.289296281668369
66.1843646,5.155,560.5,2.72,0.3179,Kepler,0.6281161347807417,4301.522625607201,4.6432926333242825
10.443341795,3.94077,145290.0,44.35,0.0927,Kepler,1.0193532713321785,5376.192983583647,4.536478963955447
122.358116,10.768,352.8,2.15,0.4823,Kepler,1.1888562615803548,4301.705582129108,4.531539011926778
55.673582,3.778,765.1,2.19,0.2658,Kepler,0.7181157444944225,4700.332320513612,4.617254048007375
3.35,4.9660310017270675,146.16843799010246,0.97,0.0266,K2,0.427,4408.0,4.617
0.575445783,0.8463,29.3,1.3,0.0149,Kepler,0.700001722620549,4602.4536955373205,4.630116214369661
